Zeilennummer;String;Englische Übersetzung
8085;Demo: ;
8096;Schließen;Close
8157;LOG nicht gefunden;
8158;Die LOG-Datei existiert nicht (mehr).;
8165;"f""{err}\n\n{self.log_path}""";
8180;"f""{err}:\n{e}""";
9281;Alias, e.g. baz.ico;
9362;Qt5 Resource Alias Builder;
9548;Aliases;
9559;XML;
9635;Fehler;Error
9635;"f""{msg}:\n{directory}""";
9942;.\n\nAlternative:\npython -m PyQt5.pyrcc_main images.qrc -o images_rc.py;
9955;"f""{cmd}:\n{' '.join(cmd)}\n\nSTDOUT:\n{proc.stdout}\n\nSTDERR:\n{proc.stderr}""";
9955; ;
9962;Fertig;Done
9963;"f""{msg}:\n\n{qrc_path}\n{py_path}""";
10140;;
10141;;
10326;MSGSTR;
10333;MSGID:;
10359;MSGSTR:;
10471;Input file (*.po):;
10479;Output file (*.mo):;
10489;:;
10675;msgid;
10675;;
10766;;
10770;Language;
10962;Language;
10993;localize/po_path;
10993;;
10993;;
10994;localize/mo_path;
10994;;
10994;;
10996;f'localize/header/{key}';
10996;;
10996;;
10997;Language;
11001;Language;
11007;Language;
11654;Linke Markerspalte: Breakpoint (hellrot)\nRechte Markerspalte: Favorit/Bookmark (hellblau)\nLinksklick setzt, Rechtsklick löscht den Marker.;
11959;Rechner für Assembler-Operand;
11968;Die Eingabe erfolgt über die Zahlentasten. \nMultiplikation und Division werden vor Addition und \nSubtraktion ausgewertet.;
11977;Priorität der Umrechnung;Conversion priority
12045;←;
12047;Letzte Eingabe löschen;Delete last input
12051;Löschen;Delete
12053;Ausdruck und Ergebnis löschen;Clear expression and result
12057;=;
12094;Speichern;Save
12095;Abrufen;
12107;Berechnen;Calculate
12108;Ändern;Change
12109;Schließen;Close
12159;Kopieren;Copy
12169;Einfügen;Paste
12333; ;
12352;"f""{digit} ist in dieser Zahlenbasis nicht zulässig.""";
12377;Zuerst einen Zahlenwert eingeben.;Enter a numeric value first.
12515;nicht ganzzahlig;
12518;nicht ganzzahlig;
12528;;
12581;Hexadezimal und Binär benötigen ein ganzzahliges Ergebnis.;
12585;"f""Ergebnis kopiert: {text}""";
12600;Dieses Ausgabeformat benötigt ein ganzzahliges Ergebnis.;
12641;Speicher: leer;Memory: empty
12644;Speicher: ;
13802;"f""Aktuell: {operand}""";
13949;"f""{info.mnemonic}    {info.operands}    Verfuegbar: {available}""";
14169;Rechner für Operand...;Operand calculator...
14722;C64 Character-Editor;
14748;Neu;New
14749;Laden …;Load …
14750;Speichern;Save
14751;Speichern unter …;Save as …
14759;Neuer Zeichensatz – 2048 Bytes;
14774;Zeichen anspringen: $01, 0x41 oder 65;
14775;Gehe zu;Go to
14803;◀;
14804;▶;
14817;Vorschau;Preview
14824;Ausgabe Format;Output format
14837;Quellcode speichern unter...;
14841;Charmap im ausgewählten Sprachformat speichern;
14849;Pixel:;Pixel:
14853;Hintergrund:;Background:
14871;Leeren;Clear
14872;Invertieren;Invert
14873;Horizontal spiegeln;Flip horizontally
14874;Vertikal spiegeln;Flip vertically
14875;←;
14876;→;
14877;↑;
14878;↓;
14879;Zeichen kopieren;
14880;Zeichen einfügen;
14903;"Linke Maustaste zeichnet, rechte Maustaste löscht. \nPfeiltasten bewegen den Rastercursor; Leertaste schaltet ein Pixel um.";
14915;Bereit;Ready
14916;Schließen;Close
15008;"f""Zeichen ${code:02X} – dezimal {code} – ""\n                    f""Dateioffset ${code * 8:04X}""";
15008;:02X;
15009;:04X;
15034;"f""${code:02X}""";
15034;:02X;
15034;*;
15034;;
15064;"f""Zeichen ${code:02X} / {code} – Offset ${code * 8:04X}""";
15064;:02X;
15064;:04X;
15067;"f""Bitmapzeilen: {values}""";
15086; *;
15086;;
15094;Ungespeicherte Zeichen;Unsaved characters
15095;Der Zeichensatz wurde geändert. Vor dem Fortfahren speichern?;
15113;Neuer Zeichensatz – 2048 Bytes;
15114;Neuer leerer Zeichensatz angelegt;
15137;Zeichensatz konnte nicht geladen werden;
15149;"f""{self.current_path.name} geladen – Zeichen $01-$FF editierbar""";
15160;Speichern fehlgeschlagen;
15167;"f""Gespeichert: {self.current_path.name} – 2048 Bytes""";
15216;Export fehlgeschlagen;
15220;"f""Charmap als {output_format} gespeichert: {target.name}""";
15234;"f""Zeichen ${self.current_code:02X} als acht Hexbytes kopiert""";
15234;:02X;
15246;Zeichen konnte nicht eingefügt werden;
15247;Die Zwischenablage muss genau acht Hexbytes enthalten, \nzum Beispiel: 18 3C 66 7E 66 66 66 00.;
15253;"f""Zeichen ${self.current_code:02X} aus Zwischenablage eingefügt""";
15253;:02X;
15270;Ungültiger Zeichencode;Invalid character code
15271;Bitte einen Wert von $01 bis $FF oder 1 bis 255 eingeben.;
15277;Ungültiger Zeichencode;Invalid character code
15278;Editierbar sind ausschließlich die Zeichen $01 bis $FF.;
15301;C64 Paletten-Editor;
15326;Standardpalette;Default palette
15327;Laden …;Load …
15328;Palette speichern;Save palette
15329;Palette speichern unter …;Save palette as …
15337;Neue Palette – 16 RGB-Farben / 48 Bytes;
15342;Hinweis: Die 16 VIC-II-Hardwarefarbnummern sind fest. \nDer Editor bearbeitet ihre RGB-Darstellung für Vorschau, \nEmulatoren und Quellcodeexport.;
15358;C64-Farben 0–15;
15384;Farbe auswählen …;Choose color …
15389;Name:;Name:
15392;RGB-Hex:;
15394;#RRGGBB;
15399;Übernehmen;Apply
15400;Farbe zurücksetzen;Reset color
15401;Alle zurücksetzen;Reset all
15412;Ausgabe Format;Output format
15424;Speichern als...;
15426;Palette im ausgewählten Sprachformat speichern;
15434;Bereit;Ready
15435;Schließen;Close
15476;"f""Farbe {index}: {name} – {color_hex}""";
15487;"f""{index:02d}  {name}""";
15487;:02d;
15488;"f""Farbe {index}: {name} – {color_hex}""";
15509;"f""Farbe {self.current_index:02d} – {name}""";
15509;:02d;
15526;"f""RGB: {red}, {green}, {blue}   Hex: {color_hex}""";
15545;Ungültige Farbe;Invalid color
15553;"f""Farbe {self.current_index:02d} geändert: {name} {color_hex}""";
15553;:02d;
15564;"f""Farbe {self.current_index:02d} auf Standard zurückgesetzt""";
15564;:02d;
15571;Palette zurücksetzen;
15572;Alle 16 Farben auf die Standardpalette zurücksetzen?;
15582;Neue Palette – 16 RGB-Farben / 48 Bytes;
15584;C64-Standardpalette wiederhergestellt;
15589;C64 Paletten-Editor;
15589; *;
15589;;
15598;Ungespeicherte Palette;Unsaved palette
15599;Die Palette wurde geändert. Vor dem Fortfahren speichern?;
15629;Palette konnte nicht geladen werden;
15639;"f""Palette geladen: {self.current_path.name}""";
15653;Speichern fehlgeschlagen;
15657;"f""Palette gespeichert: {self.current_path.name} – 48 Bytes""";
15711;Export fehlgeschlagen;
15715;"f""Palette als {output_format} gespeichert: {target.name}""";
15937;C64 Text-Bildschirm-Editor;
15958;Neu;New
15959;Laden …;Load …
15960;Speichern;Save
15961;Speichern unter …;Save as …
15966;Neue Bildschirmseite – 1000 Zeichen + 1000 Farben;
15985;Zeichen;
16003;"f""Zeichen ${code:02X} / {code}""";
16003;:02X;
16007;Zeichenfarbe;
16018;Bildschirmseite;
16020;Leeren;Clear
16021;Mit Auswahl füllen;
16026;Ausgabe Format;Output format
16037;Quellcode speichern unter...;
16044;Bereit;Ready
16045;Schließen;Close
16080;"f""Position {x:02d},{y:02d} – Zeichen ${character:02X} – Farbe {color}""";
16080;:02d;
16080;:02d;
16080;:02X;
16091;C64 Text-Bildschirm-Editor;
16091; *;
16091;;
16100;Ungespeicherte Bildschirmseite;
16101;Die Bildschirmseite wurde geändert. Vor dem Fortfahren speichern?;
16119;Neue Bildschirmseite – 1000 Zeichen + 1000 Farben;
16120;Neue leere Bildschirmseite angelegt;
16141;Bildschirmseite konnte nicht geladen werden;
16147;"f""Bildschirmseite geladen: {self.current_path.name}""";
16159;Speichern fehlgeschlagen;
16163;"f""Bildschirmseite gespeichert: {self.current_path.name} – 2000 Bytes""";
16215;Quellcodeexport fehlgeschlagen;
16219;"f""Bildschirmseite als {output_format} gespeichert: {target.name}""";
16465;C64 Pixel-Bildschirm-Editor;
16482;Neu;New
16483;Laden …;Load …
16484;Speichern;Save
16485;Speichern unter …;Save as …
16490;Neuer Pixelbildschirm – 320x200 / 16 Farben;
16508;Werkzeuge;Tools
16523;16 Farben;
16529;"f""{index:X}""";
16529;:X;
16537;"f""{index:02d} – {name}""";
16537;:02d;
16547;Bild;
16549;Schwarz löschen;
16550;Mit Farbe füllen;
16555;Ausgabe Format;Output format
16566;Quellcode speichern unter...;
16574;Bereit;Ready
16575;Schließen;Close
16594;"f""Pixel {x:03d},{y:03d} – Farbe {color:02d}""";
16594;:03d;
16594;:03d;
16594;:02d;
16599;C64 Pixel-Bildschirm-Editor;
16599; *;
16599;;
16608;Ungespeicherter Pixelbildschirm;
16609;Der Pixelbildschirm wurde geändert. Vor dem Fortfahren speichern?;
16624;Neuer Pixelbildschirm – 320x200 / 16 Farben;
16625;Neuer schwarzer Pixelbildschirm angelegt;
16646;Pixelbildschirm konnte nicht geladen werden;
16652;"f""Pixelbildschirm geladen: {self.current_path.name}""";
16662;Speichern fehlgeschlagen;
16666;"f""Pixelbildschirm gespeichert: {self.current_path.name} – 32000 Bytes""";
16714;Quellcodeexport fehlgeschlagen;
16718;"f""Pixelbildschirm als {output_format} gespeichert: {target.name}""";
16746;PETSCII-Zeichen auswählen;
16755;"f""PETSCII-Zeichen für Byte an Offset ${byte_index & 0xFFFF:04X}""";
16755;:04X;
16762;Ein Klick ersetzt das Byte sofort in der Hex- und \nZeichenansicht. $00 ist NUL und daher kein Zeichenbutton.;
16781;HEX;
16786;"f""{nibble:X}""";
16786;:X;
16790;"f""{nibble:X}""";
16790;:X;
16812;"f""PETSCII-Byte ${byte_value:02X}""";
16812;:02X;
16815;"f""PETSCII ${byte_value:02X} ""\n                    f""(dezimal {byte_value})""";
16815;:02X;
16847;Schließen;Close
17356;Kopieren;Copy
17357;Ausschneiden;Cut
17358;Einfügen;Paste
17361;PETSCII-Zeichen auswählen...;
17364;Speichern;Save
17365;Speichern unter...;
17597;Assemble;
17602;Quelltext in ein C64-PRG übersetzen;
17609;Start;
17616;Das zuletzt assemblierte Programm in VICE starten;
17632;Compiler-/Assemblerziel auswählen;
17643;680x0-CPU-Profil für den Amiga-Assembler;
17663;Windows-Anwendungsart: Konsole, GUI, Direct2D oder Direct3D;
17669;Verbose;
17674;"PROLOG Verbose: aktiviert = automatische Top-Level-Lösungen ausblenden; \nwrite/writeln bleiben sichtbar";
17680;Noch nicht assembliert;
17733;Rohdaten;
17746;MarkDown;
17777;Assemble;
17784;Angezeigten Assemblercode in ein C64-PRG übersetzen;
17794;Start;
17801;Das aus dem ASM-Tab erzeugte Programm in VICE starten;
17820;Compiler-/Assemblerziel auswählen;
17856;Verbose;
17864;"PROLOG Verbose: aktiviert = automatische Top-Level-Lösungen ausblenden; \nwrite/writeln bleiben sichtbar";
17871;COFF32 .o;
17874;Angezeigten PE32-Assemblercode als relocierbares COFF32-Objekt speichern;
17881;ASM-Daten werden beim Kompilieren erzeugt;
17934;Nach dem Kompilieren werden hier die ASM-Daten angezeigt.;
17952;ASM;
17981;Hex-Editor;
17992;Hinweise werden später an dieser Stelle angezeigt.;
17994;Hinweise;
18177;"f""{count} Breakpoint(s) – erneut Compile/Assemble ausführen""";
18208;Quelltext geändert – erneut Compile ausführen;
18236;Assemblercode geändert;
18317;"f""ASM-Daten für {target_name} werden beim Kompilieren erzeugt""";
18346;"f""CPU: {normalized} – erneut Compile/Assemble ausführen""";
18371;"f""{normalized} – erneut Compile/Assemble ausführen""";
18394;"f""{normalized} – erneut Compile/Assemble ausführen""";
18420;PROLOG Verbose ;
18420;aktiv – Compile erneut ausführen;
18420;inaktiv – Compile erneut ausführen;
18423;ASM-Daten werden beim nächsten PROLOG-Compile neu erzeugt;
18456;COFF64 .o;
18457;Angezeigten PE64-Assemblercode als relocierbares AMD64-COFF64-Objekt speichern;
18459;COFF32 .o;
18460;Angezeigten PE32-Assemblercode als relocierbares COFF32-Objekt speichern;
18568;"f""Das zuletzt erzeugte Programm in {emulator_name} starten""";
18571;"f""Das aus dem ASM-Tab erzeugte Programm in {emulator_name} starten""";
18573;Assemble;
18575;"f""Angezeigten {target_name}-Assemblercode in ein ""\n                f""{output_name} übersetzen""";
18633;Compile;
18635;C64 BASIC in MOS-6510-Assembler übersetzen;
18638;Noch nicht kompiliert;
18640;Compile;
18642;"f""Pascal mit ANTLR in {target_name}-Assembler übersetzen""";
18645;Noch nicht kompiliert;
18647;Compile;
18649;"f""C mit ANTLR in {target_name}-Assembler übersetzen""";
18652;Noch nicht kompiliert;
18654;Compile;
18656;"f""LISP in {target_name}-Assembler übersetzen""";
18659;Noch nicht kompiliert;
18661;Compile;
18663;"f""PROLOG in {target_name}-Assembler übersetzen""";
18666;Noch nicht kompiliert;
18668;Compile;
18670;LOGO in nativen Windows-PE32-Assembler übersetzen;
18673;Noch nicht kompiliert;
18675;Compile;
18677;"f""dBase für {target_name} kompilieren (?/??, Ausdrücke, Kommentare)""";
18680;Noch nicht kompiliert;
18682;Assemble;
18684;"f""{target_name}-Assemblerquelltext in ein ""\n                    f""{output_name} übersetzen""";
18688;Noch nicht assembliert;
18781;"f""Erzeugt: {self.generated_assembly_path.name}""";
18812;"f""Erzeugt: {self.assembled_program_path.name}""";
18820;"f""Erzeugt: {self.assembled_program_path.name}""";
18876;"f""Assembler-Befehl {mnemonic}""";
19058;Ersten Treffer suchen;
19128;Seiten-Quelltext;
19133;Schließen;Close
19154;CHM Viewer;
19190;Hilfe öffnen …;
19194;CHM-Datei öffnen;
19196;Programm beenden;
19198;Kopieren;Copy
19200;Seiten Quelltext;
19202;Über …;
19206;Start;
19209;index.html anzeigen;
19212;Zurück;
19217;Vor;
19263;Themen;
19264;Schlüsselwörter;
19265;Favoriten;
19269;Aktuelle Seite hinzufügen;
19273;Entfernen;Remove
19316;Keine CHM-Datei geöffnet;
19323;Bereit;Ready
19366;Lade Seite …;
19370;"f""Lade Seite … {value} %""";
19505;CHM Viewer;
19506;"f""Datei nicht gefunden:\n{source}""";
19511;CHM-Datei wird entpackt …;
19524;CHM Viewer;
19526;CHM-Datei konnte nicht geöffnet werden;
19552;"f""{source.name} – CHM Viewer""";
19557;"f""{topic_count} Themen und {keyword_count} ""\n                ""Schlüsselwörter geladen""";
19618;"f""Kein Hilfethema für „{word}“ gefunden""";
19637;"f""Kontexthilfe: {language_name or 'allgemein'} / {word}""";
19637;allgemein;
19790;"f""Treffer: {item.text(0)}""";
19797;"f""Kein Treffer für „{text}“""";
19819;"f""Hilfeseite nicht gefunden: {value}""";
19919;Die aktuelle Seite kann nicht gespeichert werden;
19932;Diese Seite ist bereits als Favorit gespeichert;
19940;"f""Favorit gespeichert: {title}""";
19955;Favorit entfernt;
19995;Seite geladen;
19998;Die Seite konnte nicht geladen werden;
20006;"f""{visible_title} – CHM Viewer""";
21596;Hilfe;Help
21597;"""dBase FORM - Designer-Root\n\n""\n                    f""Name/Klasse: {item.component_name}\n""\n                    f""Runtime-Position: Left={left}, Top={top}\n""\n                    f""Client-Größe: {width} x {height}\n\n""\n                    ""Min/Max/Close sind im Designer nur Symbole.""";
21611;Hilfe;Help
21612;"""Designer-Komponente\n\n""\n                f""Typ: {item.component_type}\n""\n                f""Name: {item.component_name}\n""\n                f""Parent: {parent_text}\n""\n                f""Position: Left={left}, Top={top}\n""\n                f""Größe: {width} x {height}""";
21623;Hilfe;Help
21624;Formular-Designer\n\nRechte Maustaste: Kontextmenü öffnen.\nCTRL + linke Maustaste + Ziehen: in 10-Pixel-Schritten verschieben.\nOhne CTRL: in 1-Pixel-Schritten verschieben.\nDesigner-Limits von Panels und Border-Innenkanten bleiben aktiv.;
21726;Hilfe;Help
21728;Kopieren;Copy
21729;Einfügen;Paste
21730;Ausschneiden;Cut
21731;Entfernen;Remove
21988;Image;
21999;A;
21999;B;
21999;C;
22000;1;
22000;2;
22000;3;
22008;Bereit;Ready
22012;Neu;New
22013;Öffnen;Open
22033;Nicht-visuelle Designer-Komponente: ;
22970;Key;
22970;Value;
23102;...;
23116;...;
23174;...;
23189;...;
23250;...;
23317;Eigenschaften;Properties
23326;Ereignis;
23326;Prozedur;
23326;Quelle;
23341;Ereignisse;Events
23342;Methoden;
23360;Standard;
23376;Datenbank;Database
23377;Erweitert;
23427;...;
23698;"f""{spec['title']} auswählen und anschließend im Formular platzieren""";
23698;title;
23711;"f""{spec['title']} auswählen und als 42x42-Komponente platzieren""";
23711;title;
23830;→;
23832;Zur Event-Prozedur im Quellcode springen;
24505;Feld als Index-Kandidat markieren;
24720;Hinzufügen;
24721;Kopieren;Copy
24722;Ausschneiden;Cut
24723;Einfügen;Paste
24724;Löschen;Delete
24761;Speichern;Save
24762;Speichern unter ...;
